,Mejor,Media,Std
0,0.0011835956759337367,0.007494572176753544,0.0026071348878472446
1,0.0008665270614239872,0.0018990028382902017,0.0005377534580984222
2,0.00018086892539663198,0.0007979619569258667,0.00022864285443481534
3,0.00018086892539663198,0.00041919732755245814,9.34478161572491e-05
4,0.00011984820267529695,0.00025188198582868146,5.7489478893214334e-05
5,3.861543034548249e-05,0.00016511745424317798,3.8912161902555574e-05
6,3.861543034548249e-05,0.00010684308280362947,2.369052764552798e-05
7,1.826887129859637e-05,6.137251348696856e-05,1.7390702774513972e-05
8,1.826887129859637e-05,3.6265921134680216e-05,7.631267224154372e-06
9,1.7421192946640183e-05,2.358235806402973e-05,3.3622594236622475e-06
10,1.0380258444163377e-05,1.6665913495339238e-05,2.1623611518120776e-06
11,9.061358030578577e-06,1.2038814936460503e-05,1.8591182439317207e-06
12,5.3655690040245425e-06,8.194679340276193e-06,1.3387554232380747e-06
13,2.7694709850229758e-06,5.638735775070846e-06,1.0081954925801783e-06
14,1.7293854951015962e-06,3.8872580664952536e-06,7.863856948989555e-07
15,7.149586718938934e-07,2.2881695465433753e-06,5.668679098619909e-07
16,6.196870743202625e-07,1.4201396996897524e-06,4.1096310156491136e-07
17,2.2805573687448739e-07,8.162505997947859e-07,2.2919341812036742e-07
18,2.2805573687448739e-07,5.330803920127584e-07,1.2781999672964895e-07
19,2.0470218142907415e-07,3.535452182883309e-07,7.935963430022432e-08
20,6.206604531507748e-08,2.310697468262401e-07,5.0149705391761444e-08
21,6.206604531507748e-08,1.2743369210323902e-07,2.7069806666888767e-08
22,4.913018932722128e-08,8.198124937218158e-08,1.50019692828173e-08
23,4.122134833238901e-08,5.45478599063528e-08,6.197414289364494e-09
24,2.377133555231858e-08,4.1009809145451945e-08,5.65228720564549e-09
25,1.3240496100790388e-08,2.78049081305587e-08,6.353620410477752e-09
26,6.123700008784423e-09,1.7630165758180282e-08,4.563007114128795e-09
27,6.123700008784423e-09,1.0889521642062508e-08,2.2847719536192824e-09
28,3.6909249429351383e-09,7.687109450806766e-09,1.722039454860431e-09
29,2.0523521793828125e-09,5.2003712096194515e-09,1.2603451001566132e-09
30,2.0523521793828125e-09,4.1512564223424206e-09,8.124170774381718e-10
31,1.8067945231158138e-09,3.2650855538045483e-09,6.440923399627588e-10
32,7.741079039939655e-10,2.3048978329283763e-09,4.733482366872241e-10
33,7.741079039939655e-10,1.935444986682716e-09,3.372179797532812e-10
34,5.349783453282634e-10,1.5810705824118528e-09,3.992230535185168e-10
35,5.349783453282634e-10,1.3143488947449854e-09,3.03433742947695e-10
36,5.349783453282634e-10,1.1565030751176758e-09,2.453589906021182e-10
37,5.349783453282634e-10,1.0764106930860557e-09,2.2761394297018504e-10
38,5.349783453282634e-10,1.0463652641251098e-09,2.1580029525736416e-10
39,5.120411493887872e-10,9.543069836731147e-10,2.006947348105718e-10
40,4.4366225237641425e-10,8.602565496713994e-10,1.849094925399591e-10
41,3.928218996650477e-10,7.569099513387885e-10,1.543767985605433e-10
42,2.7944567376497594e-10,6.817313728317283e-10,1.4848297203196753e-10
43,2.7944567376497594e-10,6.19844219781945e-10,1.2420902665804177e-10
44,2.7944567376497594e-10,5.891387441195491e-10,1.1214984941197098e-10
45,2.7944567376497594e-10,5.582939753624752e-10,1.0069172900851191e-10
46,2.7944567376497594e-10,5.331736803380956e-10,9.411115057077211e-11
47,2.7944567376497594e-10,5.05927397282738e-10,7.854205000012202e-11
48,2.7944567376497594e-10,4.912438695822381e-10,8.071168209455768e-11
49,2.7944567376497594e-10,4.812145281616007e-10,7.896252760549257e-11
50,2.7830644365236663e-10,4.6230447292744916e-10,7.997601997172069e-11
51,2.3221846747153304e-10,4.317980343452255e-10,8.834675175531516e-11
52,2.3221846747153304e-10,4.2197945460875063e-10,8.23410009060354e-11
53,2.3221846747153304e-10,4.202811561491591e-10,8.060233590790183e-11
54,2.3221846747153304e-10,4.0847271170569974e-10,7.632441657847699e-11
55,2.3221846747153304e-10,4.0288405521489654e-10,7.511678978543989e-11
56,2.3221846747153304e-10,3.98002983552345e-10,7.329591097180656e-11
57,2.3221846747153304e-10,3.9658387266192327e-10,7.171388428216693e-11
58,2.3221846747153304e-10,3.9143360151549494e-10,7.044360888638957e-11
