,Mejor,Media,Std
0,0.0027522951446082205,0.008148827681962956,0.002729044496481313
1,0.0012004472946926484,0.0025471400962914768,0.0007389533121695115
2,0.0004141671318343164,0.0010531307483312496,0.0003202005346515821
3,0.00028011325828378116,0.0005961605432856387,0.00011333278538453232
4,5.96079899160445e-05,0.0003476142445697044,9.170983920893817e-05
5,5.089075621111886e-05,0.0001885013013595811,5.421705861535712e-05
6,7.250528827881714e-05,0.00014226200068088969,2.6802917191569027e-05
7,3.6906987078199934e-05,9.145900651137777e-05,2.3190271972993876e-05
8,2.4217081423755256e-05,5.8738282095026895e-05,1.459482124780219e-05
9,2.278989019481519e-05,4.1142424981249675e-05,9.166095367661774e-06
10,1.3385733162616063e-05,2.6606927925504575e-05,6.327869989559168e-06
11,9.679494484647097e-06,1.8111501338783072e-05,3.323134747574966e-06
12,7.679112215497318e-06,1.250559800624183e-05,2.7600802904967195e-06
13,3.0646928952531237e-06,8.185353540637143e-06,1.5653858849750161e-06
14,2.146625512620406e-06,5.241809631546273e-06,9.159513788773518e-07
15,1.6368735849955825e-06,3.4036498851643425e-06,6.039501389613384e-07
16,1.2380390105252569e-06,2.0489922776789126e-06,4.0155118039871846e-07
17,8.726703349962233e-07,1.2731691865162778e-06,1.945415837600574e-07
18,4.943886341019846e-07,8.622228325287817e-07,1.681701288449557e-07
19,2.715210525119023e-07,5.296479060225048e-07,1.1201617204145006e-07
20,1.536974538222768e-07,3.406452248197844e-07,6.949577666176175e-08
21,7.900893760412487e-08,2.2415039392952888e-07,5.303874961966515e-08
22,5.1860477814120455e-08,1.221023762920034e-07,3.1580561456472844e-08
23,2.9435501275777562e-08,7.024932267103661e-08,1.915802683075672e-08
24,1.352716072088007e-08,3.9250747846620774e-08,8.097035427474269e-09
25,1.433258972661098e-08,2.4479346908744464e-08,5.264113852836013e-09
26,8.214293283358335e-09,1.5814371504462665e-08,3.2507554531205825e-09
27,4.584594985816287e-09,1.0407138686618749e-08,2.268401586663975e-09
28,2.787826570847338e-09,5.918848773400268e-09,1.4511077515645049e-09
29,1.3218432238231849e-09,2.986451296222523e-09,8.421830670901656e-10
30,3.359367176643041e-10,1.7068664086564395e-09,4.482975857622703e-10
