,Mejor,Media,Std
0,0.0005707291710105852,0.0009897690753300208,0.0001900062320881145
1,0.0005707291710105852,0.0009897690753300208,0.0001900062320881145
2,0.0004746029746989684,0.0009516742695501319,0.00019379763372729222
3,0.0004746029746989684,0.000940879240357441,0.00018183619450607802
4,0.0004746029746989684,0.0009386990659697847,0.00017911643486036885
5,0.0004746029746989684,0.0009108637826909628,0.00016928044181039933
6,0.0004746029746989684,0.0008897030165100969,0.00016142780738083253
7,0.0004746029746989684,0.0008318836939776153,0.00014086440321017528
8,0.0004746029746989684,0.0007690525417827283,0.0001101662684996585
9,0.0004371099512272896,0.0006460089561703531,9.788759402614271e-05
10,0.0002385191410391625,0.000446576782691678,8.035405562347612e-05
11,0.00021580429905773734,0.0002999181404459708,3.3962743974943417e-05
12,0.00012142299626385224,0.00020542752485253974,3.19163083827905e-05
13,9.878474970251661e-05,0.00014258427557261794,2.0328520441372665e-05
14,4.82808509100465e-05,9.972871758138383e-05,1.8044348402884358e-05
15,1.2259275738263227e-05,5.9390422503852636e-05,1.3625776691158031e-05
16,1.2259275738263227e-05,4.4677432352358185e-05,1.1589071204860593e-05
17,1.1873893809623087e-05,3.250727337835555e-05,8.273327769634193e-06
18,1.1873893809623087e-05,2.7495704790574836e-05,7.098792897876149e-06
19,9.65765914262475e-06,2.2050799452606265e-05,6.320063250612442e-06
20,9.65765914262475e-06,1.6505616978570998e-05,3.921390709196924e-06
21,8.5200147217271e-06,1.3795011379517723e-05,2.3069293620008338e-06
22,8.5200147217271e-06,1.269224319135448e-05,1.7391130239610835e-06
23,6.4281497205228805e-06,1.078685895351774e-05,1.6070312940327362e-06
24,4.074900384271363e-06,7.92093515453399e-06,1.5096626057571027e-06
25,2.06163419807089e-06,5.473177130385113e-06,1.6166449524911664e-06
26,2.06163419807089e-06,3.840049340707051e-06,8.172577531663319e-07
27,1.025637965345922e-06,2.8167377835792863e-06,7.409836777837158e-07
28,9.75740860622556e-07,2.134651931017073e-06,5.560004639167941e-07
29,7.315203586115629e-07,1.5199646618759266e-06,4.251784746185069e-07
30,6.678908748409952e-07,1.1934734585395856e-06,3.0123517297395117e-07
31,4.938065925340836e-07,9.55579252716712e-07,1.904515140247947e-07
32,3.1047816971216417e-07,7.428928761569946e-07,1.6799491365000524e-07
33,3.1047816971216417e-07,5.579982474916524e-07,1.2487082698866883e-07
34,2.6928120082226e-07,4.4137304018990754e-07,7.625207533931339e-08
35,7.922731666842294e-08,3.5654555720303843e-07,7.359351926563765e-08
36,7.922731666842294e-08,2.6995217269118026e-07,5.943385486815753e-08
37,7.922731666842294e-08,2.0164380810564112e-07,4.914360521590746e-08
38,7.922731666842294e-08,1.4464972560118036e-07,3.171475463852553e-08
39,7.922731666842294e-08,1.1525715456047589e-07,2.011862516395134e-08
40,3.257901063264083e-08,7.885348172327027e-08,1.8455302619904685e-08
41,1.9051550725488957e-08,5.505693367549083e-08,1.4355252551587815e-08
42,1.9051550725488957e-08,3.90971068799507e-08,8.461253167153887e-09
43,1.1915678333479517e-08,2.8709069201098686e-08,6.450653541878139e-09
44,1.1472972023545437e-08,2.1056532519122817e-08,4.179182694224897e-09
45,7.292377404824526e-09,1.5249001295626996e-08,3.390976834613934e-09
46,7.292377404824526e-09,1.2073266354257601e-08,2.1902826657297923e-09
47,4.923487685925626e-09,8.810995559411126e-09,1.7827360572068419e-09
48,2.9332858475497693e-09,5.997587187286673e-09,1.5816332465059685e-09
49,2.0387365964008632e-09,4.037933291996127e-09,9.36399805198321e-10
50,1.5660399800642775e-09,3.388643529113204e-09,6.934686332578978e-10
51,1.015463661809218e-09,2.413499067634286e-09,6.005307913472181e-10
52,6.8457528296183e-10,1.7566311341518077e-09,4.5556048485817085e-10
53,6.8457528296183e-10,1.1949056728069083e-09,3.2353329875999483e-10
54,6.8457528296183e-10,9.828078810312908e-10,1.5049122185176224e-10
55,4.6224300362574415e-10,7.339485164003529e-10,1.1719669557187117e-10
56,1.9444723092902128e-10,5.740741747233386e-10,1.1559498724077877e-10
57,1.8900568737758774e-10,4.5387280977140813e-10,1.1403022968000706e-10
58,1.196481453372042e-10,2.961826295054787e-10,7.686666972238923e-11
59,1.196481453372042e-10,2.1814650788681007e-10,5.26447019387402e-11
60,1.0157240901761732e-10,1.6119229502525835e-10,3.493257473677532e-11
61,7.183112806538837e-11,1.2125769286978914e-10,2.088232139695456e-11
62,3.410845079442342e-11,9.745020253276015e-11,2.2175209157884708e-11
63,3.410845079442342e-11,6.909446946603663e-11,1.5931650645227053e-11
64,3.410845079442342e-11,6.010771863710873e-11,1.1941757126553243e-11
65,3.410845079442342e-11,4.976835732792685e-11,6.959808221847566e-12
66,2.478043887926551e-11,3.90588202750976e-11,6.834244353333687e-12
67,2.15199304896771e-11,3.2719340741910193e-11,4.463464776082428e-12
68,1.2481614846136382e-11,2.4420492180898e-11,5.167931003915933e-12
69,3.248110278074832e-12,1.719741680679538e-11,4.9702115476044964e-12
70,3.248110278074832e-12,1.3423342174855798e-11,3.1348003094283287e-12
71,3.248110278074832e-12,1.021252174438692e-11,2.6743444783518803e-12
72,3.248110278074832e-12,7.667955544059e-12,1.8386825805146826e-12
73,2.702854153544437e-12,5.982789636243137e-12,1.293263403868417e-12
74,2.552356288549958e-12,4.550534110885598e-12,9.345460062020863e-13
75,1.446678781142876e-12,3.571058259012518e-12,7.962183972213058e-13
76,1.090579294748293e-12,2.6855701795548025e-12,6.045308839624757e-13
77,5.186505086551342e-13,1.638446759157529e-12,4.723840529995721e-13
78,5.186505086551342e-13,1.243815413343376e-12,2.402930569220456e-13
79,2.6933914314337435e-13,9.36576607618937e-13,2.4541818167147486e-13
80,2.6933914314337435e-13,7.4466250255768e-13,2.084394888318111e-13
81,2.6933914314337435e-13,5.531275050195966e-13,1.3294738406124622e-13
82,1.9415290985720028e-13,4.1254039038040955e-13,9.770562763263348e-14
83,1.675644292979659e-13,3.251913177491329e-13,6.58190949954478e-14
84,1.4962114080462072e-13,2.4614718992462163e-13,4.746781339071253e-14
85,9.569295838198597e-14,2.019684423713164e-13,3.968319378451081e-14
86,4.651847992177238e-14,1.450689819665449e-13,3.650514817175258e-14
87,4.651847992177238e-14,1.2087552260544001e-13,3.1956164372382674e-14
88,4.305436405251877e-14,8.704435598349945e-14,2.1683285555443146e-14
89,1.6675240996423194e-14,6.631179668121814e-14,1.6495344829390822e-14
90,1.6675240996423194e-14,5.5452565044024565e-14,1.1863389474890688e-14
91,1.6675240996423194e-14,4.6203590828404885e-14,8.782308928738117e-15
92,1.5497909323499136e-14,3.4901882780927947e-14,7.297891589556855e-15
93,1.4448055820255563e-14,2.848765610942987e-14,7.0234351805254244e-15
94,1.4448055820255563e-14,2.647502983398377e-14,5.483411255789527e-15
95,1.4448055820255563e-14,2.4103284700035734e-14,4.0582034096784024e-15
96,1.1723409387177114e-14,2.2453447457003723e-14,3.717059041516399e-15
97,1.1723409387177114e-14,2.1947002166075504e-14,3.5212380949225334e-15
98,1.1723409387177114e-14,2.1463902629474146e-14,3.3114964021575386e-15
99,1.1723409387177114e-14,1.992568786871887e-14,3.680970658116442e-15
100,1.1183108495007493e-14,1.9204345973243403e-14,3.752780679172451e-15
101,1.1183108495007493e-14,1.8877967780092405e-14,3.684426510017935e-15
102,1.1183108495007493e-14,1.814579148319678e-14,3.683468990198801e-15
103,1.1183108495007493e-14,1.7449520465434632e-14,3.387252115503476e-15
104,1.1183108495007493e-14,1.74220752736407e-14,3.3539414860206605e-15
105,1.1183108495007493e-14,1.7401731812025286e-14,3.330910868939459e-15
