,Mejor,Media,Std
0,0.00040598837902948193,0.001347184355967569,0.0003939261554706694
1,0.00055163191193306,0.0018206685917126876,0.000511676734107913
2,0.0003475194876449947,0.0010891003766667151,0.00030478338920375146
3,0.0005055925126029295,0.0009237520432218313,0.00020956613153214247
4,0.0003927059639904798,0.000715694295036218,0.00015516713771618573
5,0.0002314730991761036,0.0004001119053942972,6.717233630829503e-05
6,0.0001922361903689963,0.00028523835201817453,4.304985444847711e-05
7,8.494653381479476e-05,0.00018386669512951586,3.087963824311113e-05
8,8.194210133332176e-05,0.00013304056992364152,1.47300610192899e-05
9,6.998857108002026e-05,9.450789464789583e-05,1.1381031596852767e-05
10,5.441949563477304e-05,6.895122452747246e-05,6.426783270514322e-06
11,2.7128756947311196e-05,4.689435004398815e-05,6.649996628206275e-06
12,2.1396821228557952e-05,3.185446856731072e-05,3.929934204122711e-06
13,1.2243807373854834e-05,2.1806660269352347e-05,3.1327226952463256e-06
14,1.0087432827046516e-05,1.366420399182984e-05,1.891789541349447e-06
15,4.636409621759858e-06,8.420709938173022e-06,1.459750683003732e-06
16,2.82967524743925e-06,4.251534180066045e-06,8.06852380173754e-07
17,1.3725950855214456e-06,2.4762460660734913e-06,4.4834103344293464e-07
18,7.235284192230411e-07,1.403016499282467e-06,2.7609158524407e-07
19,3.022122987496597e-07,7.610395356843226e-07,1.7616860036923164e-07
20,2.1660413459585436e-07,3.8960285292791524e-07,9.339545598630109e-08
21,1.1703016269879568e-07,1.9317232439369225e-07,3.847340544898415e-08
22,4.794855822078665e-08,9.462210391910197e-08,2.5369038985893784e-08
23,1.580576965536781e-08,4.098440749465949e-08,1.0202172141815725e-08
24,9.885491562206581e-09,1.855435539119229e-08,4.608633616063824e-09
25,4.522272803768094e-09,9.401793743260086e-09,2.1771263971568177e-09
26,2.234467260860625e-09,4.955835792680576e-09,9.923410091183968e-10
27,1.316394146748296e-09,2.368473451815482e-09,5.689977619116504e-10
28,6.493308011203147e-10,1.3594789730494167e-09,3.1036491671852193e-10
29,3.3896500546104566e-10,8.112339138303905e-10,2.0064228576046274e-10
30,2.310499367593444e-10,6.013534389696345e-10,1.293701073834049e-10
31,2.0595239516992812e-10,4.079232679944404e-10,7.643214840900293e-11
32,1.5461489422367286e-10,3.89604753374776e-10,9.281218230037799e-11
33,2.0108069726936397e-10,3.515104765001214e-10,8.210212686282196e-11
34,2.457005336030313e-10,4.254449373850206e-10,8.906208768459606e-11
35,1.9133285446855882e-10,3.883803025264508e-10,8.296891855219532e-11
36,1.8861336445981462e-10,3.551323203273744e-10,9.177502346057443e-11
37,1.1595931924782517e-10,3.829144970022443e-10,8.394360018556601e-11
38,7.711824474751842e-11,3.6050897213866595e-10,9.502251651769876e-11
39,1.283399511772818e-10,3.399544726401279e-10,8.841744419840112e-11
40,1.7609823748044276e-10,3.388288411531077e-10,7.322077695297833e-11
41,1.9833646085528132e-10,3.561290773240725e-10,5.7493953850868933e-11
42,2.0087427067608343e-10,3.701250557837566e-10,8.549264384253009e-11
43,2.0014133726291745e-10,3.876193136521079e-10,1.0238799951822052e-10
44,2.18276762820583e-10,3.8453356813486824e-10,8.245868694718351e-11
45,1.741195623080134e-10,3.736063995815963e-10,6.974245380777522e-11
46,2.0911760909383812e-10,3.8065293848795917e-10,8.648526211325445e-11
47,1.2796903621534863e-10,3.2866880317766896e-10,9.048859741804067e-11
48,1.2108529880326804e-10,3.6890884758911657e-10,9.235755890561086e-11
49,1.5058415381950797e-10,3.9560754292918473e-10,9.395466666918085e-11
50,2.1048812215163793e-10,4.1138984065143986e-10,9.577047186356272e-11
51,1.381638405178419e-10,3.539651946307658e-10,8.321673903145934e-11
52,1.2694923316483463e-10,3.6844121834235624e-10,1.0559778440977341e-10
53,1.2228557842306736e-10,3.3470041321400516e-10,9.031798251732981e-11
54,1.6757590736503592e-10,3.5446268926699946e-10,7.210247293770042e-11
55,7.701125452430134e-11,3.3690119399622795e-10,9.26039138522734e-11
56,1.0536962742083148e-10,3.410798949329591e-10,1.0656594267913371e-10
57,1.6519656034792867e-10,3.378470370673912e-10,7.900498028399126e-11
58,2.0697205497716797e-10,3.6463240093925325e-10,8.655109837430966e-11
59,2.0455346295459678e-10,3.798469011341195e-10,8.311277373629754e-11
60,1.4828476475677791e-10,3.36664211171095e-10,7.622165935974101e-11
61,2.6927616540109047e-10,4.073152765271622e-10,6.894066568133461e-11
62,1.6067255443416882e-10,3.2655732507261015e-10,8.30388742640516e-11
