,Mejor,Media,Std
0,0.0017262867518658311,0.004872245807729569,0.0018741950937874949
1,0.0003461579720001194,0.0012320486567801055,0.00047733831414680254
2,0.00018158207960032022,0.00036922042756672906,9.426806670851711e-05
3,9.528436325588569e-05,0.0001696883456840254,2.9827410916715643e-05
4,4.029429277444916e-05,9.007995181213112e-05,1.8768982302893836e-05
5,2.2457011691035366e-05,4.6479240278864805e-05,1.1259128052877118e-05
6,1.617328929508726e-05,2.6055710192620028e-05,4.312613141928104e-06
7,9.184069317000564e-06,1.6686947937869085e-05,3.0809912672130546e-06
8,6.5480362933508335e-06,9.962500085068423e-06,1.5008409542553692e-06
9,4.119838189101031e-06,6.1511007079354695e-06,1.0018821767303584e-06
10,1.9827365006883455e-06,3.323357381848774e-06,7.260116150489251e-07
11,4.4734340383408673e-07,1.7721751996316669e-06,4.1649900381710885e-07
12,4.0429383666679045e-07,7.941657116203746e-07,2.253461244788564e-07
13,2.747130953205045e-07,4.1042680354129656e-07,7.269729643647832e-08
14,6.479996460921079e-08,2.16613738691349e-07,5.6126168002601824e-08
15,6.359086704438017e-08,1.1801302342610435e-07,2.4826431578348454e-08
16,2.276247266990247e-08,6.13457458352018e-08,1.6449687564082314e-08
17,1.7964272846995633e-08,3.214599769167501e-08,5.9581525852887816e-09
18,1.2034617702805928e-08,1.8516006291771845e-08,3.703887635824706e-09
19,8.083337072195543e-09,1.0448050999447083e-08,1.254866058307015e-09
20,2.6612518289800294e-09,6.075258306377439e-09,1.3474824929674541e-09
21,2.0115222347440337e-09,3.3391644715663977e-09,5.599708505518542e-10
22,1.1017393372743376e-09,2.0061836968236977e-09,3.1168373042932387e-10
23,5.569851983865867e-10,1.0898439986697638e-09,2.2427068585226858e-10
24,2.6353136846069864e-10,5.482148238663119e-10,1.3111031279788924e-10
25,9.479915780108182e-11,3.003633968163961e-10,6.969895840308332e-11
26,9.479915780108182e-11,1.4543986726778463e-10,3.108438041195855e-11
27,2.982452531030762e-11,6.953826581512641e-11,1.670783399284439e-11
28,1.339876890526648e-11,3.568644005781743e-11,8.009357581276194e-12
29,9.843630872563457e-12,1.8764538785443778e-11,4.201221181780034e-12
30,9.843630872563457e-12,1.4373877099810141e-11,1.865751429567605e-12
31,3.864474545324887e-12,1.1032248480578413e-11,2.5952860908079354e-12
32,3.864474545324887e-12,8.320225472395381e-12,1.9736060265081145e-12
33,3.864474545324887e-12,6.089070647926424e-12,1.2140761245671256e-12
34,2.9163666124755288e-12,5.27462177768689e-12,8.180044129437625e-13
35,2.9163666124755288e-12,5.001695488111908e-12,6.999086996824419e-13
36,1.5880261007133625e-12,4.644625473389088e-12,8.883276046992138e-13
37,1.5880261007133625e-12,4.235850914059951e-12,8.041546662484603e-13
38,1.5880261007133625e-12,3.719252086513342e-12,6.840330688084598e-13
39,1.5880261007133625e-12,3.4329665228394835e-12,5.459232987129378e-13
40,1.5880261007133625e-12,3.158685568614309e-12,5.029862701413947e-13
41,1.5880261007133625e-12,3.031246180176979e-12,4.4511626039827193e-13
42,9.769825593500863e-13,2.9452329583492514e-12,5.713553425805056e-13
43,9.769825593500863e-13,2.9064534702763823e-12,5.491982765829958e-13
44,9.769825593500863e-13,2.7150829721493e-12,4.903787513235918e-13
45,9.769825593500863e-13,2.6348741002331123e-12,5.138267638051117e-13
46,9.769825593500863e-13,2.5897193068427757e-12,5.207782895350139e-13
47,9.769825593500863e-13,2.5376679187705537e-12,5.004908605746879e-13
48,9.769825593500863e-13,2.4558000679110562e-12,5.442959992430128e-13
49,9.769825593500863e-13,2.436883290787341e-12,5.326611722669909e-13
50,9.769825593500863e-13,2.436883290787341e-12,5.326611722669909e-13
51,9.769825593500863e-13,2.4336469383159156e-12,5.298580866472765e-13
52,9.769825593500863e-13,2.4121628200387134e-12,5.22347341776125e-13
53,9.769825593500863e-13,2.396154114535723e-12,5.095198974850106e-13
54,9.769825593500863e-13,2.3348074431147465e-12,5.047353736273118e-13
55,9.769825593500863e-13,2.238816264336217e-12,5.128382072025154e-13
56,9.769825593500863e-13,2.1487623125643326e-12,4.984415163931403e-13
57,9.769825593500863e-13,2.1487623125643326e-12,4.984415163931403e-13
58,9.769825593500863e-13,2.132757600120083e-12,4.870101181339411e-13
59,9.769825593500863e-13,2.1256691739017284e-12,4.803295778980772e-13
60,9.769825593500863e-13,2.1256691739017284e-12,4.803295778980772e-13
61,9.769825593500863e-13,2.109076780430269e-12,4.708239793065268e-13
62,9.769825593500863e-13,2.090075593566553e-12,4.575187448455217e-13
63,9.769825593500863e-13,2.0355147541581626e-12,4.359947368775387e-13
64,9.769825593500863e-13,2.0121477321435422e-12,4.1937633398636413e-13
65,9.769825593500863e-13,1.969378192485915e-12,4.368194440441201e-13
66,9.769825593500863e-13,1.89228485316049e-12,4.200652397854922e-13
67,9.769825593500863e-13,1.879821150517111e-12,4.1104033198148956e-13
68,9.769825593500863e-13,1.8582379608422024e-12,3.960090205927187e-13
69,9.769825593500863e-13,1.8582379608422024e-12,3.960090205927187e-13
70,9.769825593500863e-13,1.8582379608422024e-12,3.960090205927187e-13
71,9.769825593500863e-13,1.8271199342060028e-12,3.848332218051006e-13
72,9.769825593500863e-13,1.8012123232549984e-12,3.818039343857162e-13
73,9.769825593500863e-13,1.7748369566098795e-12,3.7753548463933474e-13
74,9.769825593500863e-13,1.7748369566098795e-12,3.7753548463933474e-13
75,9.769825593500863e-13,1.7616014009810987e-12,3.67459008405992e-13
76,9.769825593500863e-13,1.742965624927294e-12,3.5037983120059007e-13
