,num_padres,eps,tau,n_sigmas,discreto,elitismo,ej,index,Mejor
79,3,0.0001,0.4,False,True,True,3,1199,3.861363687522969e-13
80,3,0.0001,0.4,True,False,False,0,101,0.002661125901061
81,3,0.0001,0.4,True,False,False,1,105,0.0034942716312946
82,3,0.0001,0.4,True,False,False,2,102,0.0025452710855983
83,3,0.0001,0.4,True,False,False,3,102,0.0020083325684333
84,3,0.0001,0.4,True,False,True,0,1131,7.400902103581455e-13
85,3,0.0001,0.4,True,False,True,1,1199,4.680681469833667e-10
86,3,0.0001,0.4,True,False,True,2,1199,4.5165062468540923e-10
87,3,0.0001,0.4,True,False,True,3,1199,5.849071950477689e-13
88,3,0.0001,0.4,True,True,False,0,196,6.2978821142185495e-12
89,3,0.0001,0.4,True,True,False,1,206,9.256383181308608e-12
90,3,0.0001,0.4,True,True,False,2,205,1.634319401245966e-11
91,3,0.0001,0.4,True,True,False,3,233,1.4120321562528815e-11
92,3,0.0001,0.4,True,True,True,0,1185,5.277846268479361e-13
93,3,0.0001,0.4,True,True,True,1,1095,7.698234801359508e-13
94,3,0.0001,0.4,True,True,True,2,1023,4.920789295542288e-13
95,3,0.0001,0.4,True,True,True,3,1199,7.505017128369943e-13
96,3,0.0001,0.5,False,False,False,0,392,2.3239474943732672e-12
97,3,0.0001,0.5,False,False,False,1,311,7.541896003013501e-12
98,3,0.0001,0.5,False,False,False,2,175,1.3612781558986477e-12
99,3,0.0001,0.5,False,False,False,3,205,1.9387080363244863e-12
100,3,0.0001,0.5,False,False,True,0,833,4.108813044286174e-13
101,3,0.0001,0.5,False,False,True,1,1199,3.7537362543769933e-13
102,3,0.0001,0.5,False,False,True,2,885,4.046357767452354e-13
103,3,0.0001,0.5,False,False,True,3,981,2.7957174429914245e-13
104,3,0.0001,0.5,False,True,False,0,302,2.2390173646864637e-12
105,3,0.0001,0.5,False,True,False,1,157,4.247225058371107e-12
106,3,0.0001,0.5,False,True,False,2,142,2.809080121669087e-12
107,3,0.0001,0.5,False,True,False,3,223,3.204506190329208e-12
108,3,0.0001,0.5,False,True,True,0,1199,3.5340129962256253e-13
109,3,0.0001,0.5,False,True,True,1,731,4.405946922362764e-13
110,3,0.0001,0.5,False,True,True,2,1199,2.3009721943007904e-13
111,3,0.0001,0.5,False,True,True,3,1199,3.9757725832765373e-13
112,3,0.0001,0.5,True,False,False,0,103,0.0016831195471461
113,3,0.0001,0.5,True,False,False,1,102,0.001080071029567
114,3,0.0001,0.5,True,False,False,2,101,0.0018519807710435
115,3,0.0001,0.5,True,False,False,3,101,0.0019830323970924
116,3,0.0001,0.5,True,False,True,0,785,7.602214839078247e-13
117,3,0.0001,0.5,True,False,True,1,1199,2.336939628179867e-06
118,3,0.0001,0.5,True,False,True,2,1199,1.1445252561872435e-09
119,3,0.0001,0.5,True,False,True,3,1162,6.30461924844257e-13
120,3,0.0001,0.5,True,True,False,0,156,1.0901992676239564e-11
121,3,0.0001,0.5,True,True,False,1,192,1.6918904528434307e-11
122,3,0.0001,0.5,True,True,False,2,152,1.8093348753118563e-11
123,3,0.0001,0.5,True,True,False,3,262,1.1156650794793576e-11
124,3,0.0001,0.5,True,True,True,0,1199,4.063060665082474e-13
125,3,0.0001,0.5,True,True,True,1,1199,6.244843798552849e-13
126,3,0.0001,0.5,True,True,True,2,1199,4.3754932172833205e-13
127,3,0.0001,0.5,True,True,True,3,811,5.381431874363314e-13
128,3,0.001,0.2,False,False,False,0,221,2.7501921234883606e-10
129,3,0.001,0.2,False,False,False,1,157,2.0871259420182158e-10
130,3,0.001,0.2,False,False,False,2,218,2.2563992018034046e-10
131,3,0.001,0.2,False,False,False,3,249,2.3805598234898023e-10
132,3,0.001,0.2,False,False,True,0,1199,2.8220258251822388e-11
133,3,0.001,0.2,False,False,True,1,1199,3.924727672897325e-11
134,3,0.001,0.2,False,False,True,2,849,2.916589480053883e-11
135,3,0.001,0.2,False,False,True,3,1199,4.7405170647500186e-11
136,3,0.001,0.2,False,True,False,0,240,2.367170751012997e-10
137,3,0.001,0.2,False,True,False,1,210,3.6296037146305575e-10
138,3,0.001,0.2,False,True,False,2,144,3.0109469143638155e-10
139,3,0.001,0.2,False,True,False,3,338,3.3486002148493236e-10
140,3,0.001,0.2,False,True,True,0,567,4.94456208552874e-11
141,3,0.001,0.2,False,True,True,1,1199,3.659628549775844e-11
142,3,0.001,0.2,False,True,True,2,1059,3.2304155634302736e-11
143,3,0.001,0.2,False,True,True,3,1199,1.7722610471598834e-11
144,3,0.001,0.2,True,False,False,0,396,4.502424676834368e-10
145,3,0.001,0.2,True,False,False,1,206,2.9524732972218016e-10
146,3,0.001,0.2,True,False,False,2,248,3.965131123343416e-10
147,3,0.001,0.2,True,False,False,3,345,3.6510430956518737e-10
148,3,0.001,0.2,True,False,True,0,744,6.594836629833772e-11
149,3,0.001,0.2,True,False,True,1,1199,5.071437356881551e-11
150,3,0.001,0.2,True,False,True,2,1178,5.985715752824402e-11
151,3,0.001,0.2,True,False,True,3,1199,4.7815188275715225e-11
152,3,0.001,0.2,True,True,False,0,201,9.166132672636921e-10
153,3,0.001,0.2,True,True,False,1,257,5.109619639476196e-10
154,3,0.001,0.2,True,True,False,2,345,3.070037438283982e-10
155,3,0.001,0.2,True,True,False,3,164,9.674414300552394e-10
156,3,0.001,0.2,True,True,True,0,1199,5.775651013341782e-11
157,3,0.001,0.2,True,True,True,1,1199,4.8154730379250394e-11
158,3,0.001,0.2,True,True,True,2,1191,6.027233240109135e-11
159,3,0.001,0.2,True,True,True,3,1199,4.313468530235049e-11
160,3,0.001,0.3,False,False,False,0,408,4.746085462691712e-10
161,3,0.001,0.3,False,False,False,1,161,4.172969654632583e-10
162,3,0.001,0.3,False,False,False,2,253,1.3570486601201328e-10
163,3,0.001,0.3,False,False,False,3,214,1.4390492236212124e-10
164,3,0.001,0.3,False,False,True,0,1199,3.80934465607035e-11
165,3,0.001,0.3,False,False,True,1,1199,4.942685921045822e-11
166,3,0.001,0.3,False,False,True,2,888,3.856517276674786e-11
167,3,0.001,0.3,False,False,True,3,1199,2.7798424837255438e-11
168,3,0.001,0.3,False,True,False,0,163,1.5572805419725964e-10
169,3,0.001,0.3,False,True,False,1,153,2.2455612996461034e-10
170,3,0.001,0.3,False,True,False,2,242,3.5724051798320125e-10
171,3,0.001,0.3,False,True,False,3,169,4.032553669687701e-10
172,3,0.001,0.3,False,True,True,0,1089,3.598239269421505e-11
173,3,0.001,0.3,False,True,True,1,1199,4.4068324671870226e-11
174,3,0.001,0.3,False,True,True,2,1199,4.3559737180847925e-11
175,3,0.001,0.3,False,True,True,3,892,3.1136751647029406e-11
176,3,0.001,0.3,True,False,False,0,106,0.0015355414987328
177,3,0.001,0.3,True,False,False,1,243,4.3884059445624504e-10
178,3,0.001,0.3,True,False,False,2,328,3.3561742413809546e-10
179,3,0.001,0.3,True,False,False,3,304,4.692036493085395e-06
180,3,0.001,0.3,True,False,True,0,1199,6.266312264364401e-11
181,3,0.001,0.3,True,False,True,1,886,4.6678224967517655e-11
182,3,0.001,0.3,True,False,True,2,1199,5.836221415269376e-11
183,3,0.001,0.3,True,False,True,3,1199,2.017079361834697e-11
184,3,0.001,0.3,True,True,False,0,245,7.06781503228073e-10
185,3,0.001,0.3,True,True,False,1,284,8.37305156661764e-10
186,3,0.001,0.3,True,True,False,2,172,1.0019802494446644e-09
187,3,0.001,0.3,True,True,False,3,225,9.300199173018727e-10
188,3,0.001,0.3,True,True,True,0,893,6.182412359451983e-11
189,3,0.001,0.3,True,True,True,1,1199,8.279988356125372e-11
190,3,0.001,0.3,True,True,True,2,1199,5.176334546036369e-11
191,3,0.001,0.3,True,True,True,3,896,5.529324559635489e-11
192,3,0.001,0.4,False,False,False,0,139,1.883760529522214e-10
193,3,0.001,0.4,False,False,False,1,206,1.5364078414865977e-10
194,3,0.001,0.4,False,False,False,2,141,5.37014404977582e-10
195,3,0.001,0.4,False,False,False,3,152,1.6101364661463174e-10
196,3,0.001,0.4,False,False,True,0,1199,8.138570144004221e-11
197,3,0.001,0.4,False,False,True,1,1199,3.202979909038006e-11
198,3,0.001,0.4,False,False,True,2,1199,8.159344106813563e-11
199,3,0.001,0.4,False,False,True,3,1199,1.1362439304789179e-10
200,3,0.001,0.4,False,True,False,0,160,2.767444722277442e-10
201,3,0.001,0.4,False,True,False,1,248,3.5959449868963355e-10
202,3,0.001,0.4,False,True,False,2,159,3.3681932482681203e-10
203,3,0.001,0.4,False,True,False,3,199,3.4534877741770544e-10
204,3,0.001,0.4,False,True,True,0,1199,3.5562093093192466e-11
205,3,0.001,0.4,False,True,True,1,1199,2.443008537399577e-11
206,3,0.001,0.4,False,True,True,2,1199,4.852603241190498e-11
207,3,0.001,0.4,False,True,True,3,1053,3.712775499336116e-11
208,3,0.001,0.4,True,False,False,0,105,0.0019605362043183
209,3,0.001,0.4,True,False,False,1,101,0.0012271923413464
210,3,0.001,0.4,True,False,False,2,101,0.0016975842048338
211,3,0.001,0.4,True,False,False,3,105,0.0011840384005977
212,3,0.001,0.4,True,False,True,0,1199,4.0440625939623135e-11
213,3,0.001,0.4,True,False,True,1,1199,2.927958766675568e-07
214,3,0.001,0.4,True,False,True,2,1157,4.7549046377709245e-11
215,3,0.001,0.4,True,False,True,3,1199,4.0755103214480013e-07
216,3,0.001,0.4,True,True,False,0,139,1.0605706597550975e-09
217,3,0.001,0.4,True,True,False,1,276,1.278477128809099e-09
218,3,0.001,0.4,True,True,False,2,275,8.940448595738445e-10
219,3,0.001,0.4,True,True,False,3,150,1.0686059601612211e-09
220,3,0.001,0.4,True,True,True,0,1199,6.114301114805431e-11
221,3,0.001,0.4,True,True,True,1,1199,3.5161561688925426e-11
222,3,0.001,0.4,True,True,True,2,731,8.867074923290984e-11
223,3,0.001,0.4,True,True,True,3,1199,5.816705909379133e-11
224,3,0.001,0.5,False,False,False,0,189,8.560684939181324e-11
225,3,0.001,0.5,False,False,False,1,175,2.4794169782391347e-10
226,3,0.001,0.5,False,False,False,2,174,2.0517113048210919e-10
227,3,0.001,0.5,False,False,False,3,297,2.3570582761787156e-10
228,3,0.001,0.5,False,False,True,0,1057,3.9987105257778926e-11
229,3,0.001,0.5,False,False,True,1,1199,3.6251326855287e-11
230,3,0.001,0.5,False,False,True,2,1199,3.5630848980159876e-11
231,3,0.001,0.5,False,False,True,3,1199,3.840728033036778e-11
232,3,0.001,0.5,False,True,False,0,158,2.481015602685908e-10
233,3,0.001,0.5,False,True,False,1,186,2.4508428524446243e-10
234,3,0.001,0.5,False,True,False,2,157,3.0460181461467837e-10
235,3,0.001,0.5,False,True,False,3,170,2.4332138395126807e-10
236,3,0.001,0.5,False,True,True,0,934,3.63318546788157e-11
237,3,0.001,0.5,False,True,True,1,1199,4.5679385399124906e-11
238,3,0.001,0.5,False,True,True,2,817,4.6226444490049e-11
239,3,0.001,0.5,False,True,True,3,1199,2.6905288339836183e-11
240,3,0.001,0.5,True,False,False,0,101,0.0018023903637682
241,3,0.001,0.5,True,False,False,1,102,0.0020492099270114
242,3,0.001,0.5,True,False,False,2,102,0.0034471947947666
243,3,0.001,0.5,True,False,False,3,101,0.0018876908872473
244,3,0.001,0.5,True,False,True,0,1199,3.511039098593895e-07
245,3,0.001,0.5,True,False,True,1,1199,7.185190083322673e-07
246,3,0.001,0.5,True,False,True,2,1199,1.5417883230021932e-09
247,3,0.001,0.5,True,False,True,3,1199,9.525809252016134e-10
248,3,0.001,0.5,True,True,False,0,190,1.5980278684959143e-09
249,3,0.001,0.5,True,True,False,1,216,1.368106415881906e-09
250,3,0.001,0.5,True,True,False,2,208,8.727146003743144e-10
251,3,0.001,0.5,True,True,False,3,220,1.2152048014896662e-09
252,3,0.001,0.5,True,True,True,0,857,7.432547872965074e-11
253,3,0.001,0.5,True,True,True,1,1199,4.83414077700523e-11
254,3,0.001,0.5,True,True,True,2,1199,5.985499519636084e-11
255,3,0.001,0.5,True,True,True,3,1199,8.353429517474095e-11
256,3,1e-05,0.2,False,False,False,0,245,1.5209237663801957e-14
257,3,1e-05,0.2,False,False,False,1,276,7.092657760071282e-14
258,3,1e-05,0.2,False,False,False,2,216,1.5268511752040366e-14
259,3,1e-05,0.2,False,False,False,3,174,1.533510309439902e-14
260,3,1e-05,0.2,False,False,True,0,1199,3.1005973631547e-15
261,3,1e-05,0.2,False,False,True,1,1199,3.0238339422932334e-15
262,3,1e-05,0.2,False,False,True,2,1199,3.648719376046687e-15
263,3,1e-05,0.2,False,False,True,3,1199,2.2528038160318383e-15
264,3,1e-05,0.2,False,True,False,0,342,1.8165269071451253e-14
265,3,1e-05,0.2,False,True,False,1,244,2.253259260581634e-14
266,3,1e-05,0.2,False,True,False,2,164,2.5279127175170256e-14
267,3,1e-05,0.2,False,True,False,3,206,1.9669503710621448e-14
268,3,1e-05,0.2,False,True,True,0,1199,4.288765505863373e-15
269,3,1e-05,0.2,False,True,True,1,820,4.0094183355486e-15
270,3,1e-05,0.2,False,True,True,2,747,4.506276037812256e-15
271,3,1e-05,0.2,False,True,True,3,897,3.3914467173709358e-15
272,3,1e-05,0.2,True,False,False,0,330,2.9337267382722006e-14
273,3,1e-05,0.2,True,False,False,1,245,2.1326798787008548e-14
274,3,1e-05,0.2,True,False,False,2,257,2.629626925170573e-14
275,3,1e-05,0.2,True,False,False,3,254,3.5149832138196445e-14
276,3,1e-05,0.2,True,False,True,0,1199,5.069037313478172e-15
277,3,1e-05,0.2,True,False,True,1,1199,3.3694288705968346e-15
278,3,1e-05,0.2,True,False,True,2,1199,5.217040259891797e-15
279,3,1e-05,0.2,True,False,True,3,1093,5.216687850138148e-15
280,3,1e-05,0.2,True,True,False,0,268,4.380606489545748e-14
281,3,1e-05,0.2,True,True,False,1,278,8.223156183978235e-14
282,3,1e-05,0.2,True,True,False,2,416,2.688498247071796e-14
283,3,1e-05,0.2,True,True,False,3,185,5.781381145208525e-14
284,3,1e-05,0.2,True,True,True,0,1199,5.499593222592224e-15
285,3,1e-05,0.2,True,True,True,1,1199,4.9478831560519536e-15
286,3,1e-05,0.2,True,True,True,2,1170,8.678623076218891e-15
287,3,1e-05,0.2,True,True,True,3,1199,4.073458200440417e-15
288,3,1e-05,0.3,False,False,False,0,337,1.8899718897766076e-14
289,3,1e-05,0.3,False,False,False,1,168,2.6764585931928655e-14
290,3,1e-05,0.3,False,False,False,2,281,1.2918980128308005e-14
291,3,1e-05,0.3,False,False,False,3,184,1.6371077768569663e-14
292,3,1e-05,0.3,False,False,True,0,1199,2.682211217381893e-15
293,3,1e-05,0.3,False,False,True,1,978,3.8573030708819686e-15
294,3,1e-05,0.3,False,False,True,2,1199,1.057285186627019e-14
295,3,1e-05,0.3,False,False,True,3,1199,1.1243240805435491e-14
296,3,1e-05,0.3,False,True,False,0,214,1.8029094281634222e-14
297,3,1e-05,0.3,False,True,False,1,194,3.880923884743512e-14
298,3,1e-05,0.3,False,True,False,2,285,2.9962118638290175e-14
299,3,1e-05,0.3,False,True,False,3,185,3.8943886439733646e-14
300,3,1e-05,0.3,False,True,True,0,875,5.758004521804544e-15
301,3,1e-05,0.3,False,True,True,1,1199,2.4003250446915627e-15
302,3,1e-05,0.3,False,True,True,2,973,4.919315229844786e-15
303,3,1e-05,0.3,False,True,True,3,1094,4.046902629060078e-15
304,3,1e-05,0.3,True,False,False,0,173,5.074850269117074e-05
305,3,1e-05,0.3,True,False,False,1,194,4.8489469284726745e-14
306,3,1e-05,0.3,True,False,False,2,199,4.6290475964354134e-14
307,3,1e-05,0.3,True,False,False,3,127,0.0016013916305671
308,3,1e-05,0.3,True,False,True,0,1199,5.7386516482334864e-15
309,3,1e-05,0.3,True,False,True,1,1199,3.5697355286269406e-15
310,3,1e-05,0.3,True,False,True,2,1199,6.951044875232054e-15
311,3,1e-05,0.3,True,False,True,3,1199,6.131146194994738e-15
312,3,1e-05,0.3,True,True,False,0,256,3.5612312308876423e-14
313,3,1e-05,0.3,True,True,False,1,172,9.9973052208833e-14
314,3,1e-05,0.3,True,True,False,2,210,1.0645755617694099e-13
315,3,1e-05,0.3,True,True,False,3,354,7.800082008996137e-14
316,3,1e-05,0.3,True,True,True,0,1199,5.895011444947608e-15
317,3,1e-05,0.3,True,True,True,1,1199,4.7791848198381806e-15
318,3,1e-05,0.3,True,True,True,2,1157,6.063319494049931e-15
319,3,1e-05,0.3,True,True,True,3,1127,7.821070806340846e-15
320,3,1e-05,0.4,False,False,False,0,165,2.936077471931588e-14
321,3,1e-05,0.4,False,False,False,1,216,1.0040517938024491e-14
322,3,1e-05,0.4,False,False,False,2,235,1.1882605871535612e-14
323,3,1e-05,0.4,False,False,False,3,226,1.4602552478847496e-14
324,3,1e-05,0.4,False,False,True,0,1125,3.905297610940456e-15
325,3,1e-05,0.4,False,False,True,1,1199,3.9818278069972915e-15
326,3,1e-05,0.4,False,False,True,2,1199,1.361497618351275e-15
327,3,1e-05,0.4,False,False,True,3,1199,4.214855515233904e-15
328,3,1e-05,0.4,False,True,False,0,233,3.9722237947640286e-14
329,3,1e-05,0.4,False,True,False,1,412,3.0173827848449437e-14
330,3,1e-05,0.4,False,True,False,2,179,3.318821293348801e-14
331,3,1e-05,0.4,False,True,False,3,159,2.9787643574470763e-14
332,3,1e-05,0.4,False,True,True,0,1199,2.5505225851355305e-15
333,3,1e-05,0.4,False,True,True,1,1199,4.557228945499607e-15
334,3,1e-05,0.4,False,True,True,2,1199,4.546143047161281e-15
335,3,1e-05,0.4,False,True,True,3,1025,2.5775139431821198e-15
336,3,1e-05,0.4,True,False,False,0,106,0.0012562338388993
337,3,1e-05,0.4,True,False,False,1,101,0.0028070449747998
338,3,1e-05,0.4,True,False,False,2,101,0.0018751997406718
339,3,1e-05,0.4,True,False,False,3,107,0.0016655808647544
340,3,1e-05,0.4,True,False,True,0,1199,1.928515828917781e-09
341,3,1e-05,0.4,True,False,True,1,1199,2.0188702680153386e-07
342,3,1e-05,0.4,True,False,True,2,1199,4.395811606833799e-15
343,3,1e-05,0.4,True,False,True,3,1199,1.3348162055714475e-09
344,3,1e-05,0.4,True,True,False,0,178,1.2992256242150405e-13
345,3,1e-05,0.4,True,True,False,1,363,1.1093812061723605e-13
346,3,1e-05,0.4,True,True,False,2,236,1.30440824168209e-13
347,3,1e-05,0.4,True,True,False,3,200,1.1194143532770207e-13
348,3,1e-05,0.4,True,True,True,0,1199,5.846081890528152e-15
349,3,1e-05,0.4,True,True,True,1,1199,6.7772793836526095e-15
350,3,1e-05,0.4,True,True,True,2,1199,5.3749982679959465e-15
351,3,1e-05,0.4,True,True,True,3,1199,5.596943527134316e-15
352,3,1e-05,0.5,False,False,False,0,235,1.882827463549804e-14
353,3,1e-05,0.5,False,False,False,1,220,4.924491933659655e-14
354,3,1e-05,0.5,False,False,False,2,210,2.223357761868272e-14
355,3,1e-05,0.5,False,False,False,3,268,9.281156114312364e-15
356,3,1e-05,0.5,False,False,True,0,1199,1.5375075592583809e-15
357,3,1e-05,0.5,False,False,True,1,689,6.023427569746036e-15
358,3,1e-05,0.5,False,False,True,2,1199,4.032507429645169e-15
359,3,1e-05,0.5,False,False,True,3,1048,4.332791962353759e-15
360,3,1e-05,0.5,False,True,False,0,315,2.953072946112123e-14
361,3,1e-05,0.5,False,True,False,1,177,2.1223575052835663e-14
362,3,1e-05,0.5,False,True,False,2,205,4.8168886708874805e-14
363,3,1e-05,0.5,False,True,False,3,450,4.4052404631271874e-14
364,3,1e-05,0.5,False,True,True,0,1089,4.554959525389773e-15
365,3,1e-05,0.5,False,True,True,1,1199,5.341483592160111e-15
366,3,1e-05,0.5,False,True,True,2,1199,2.776268858419703e-15
367,3,1e-05,0.5,False,True,True,3,1199,4.28142703532173e-15
368,3,1e-05,0.5,True,False,False,0,101,0.0010798168999636
369,3,1e-05,0.5,True,False,False,1,101,0.0012463436664871
370,3,1e-05,0.5,True,False,False,2,101,0.0004382083989833
371,3,1e-05,0.5,True,False,False,3,104,0.0014788744278226
372,3,1e-05,0.5,True,False,True,0,1199,4.884684657166285e-07
373,3,1e-05,0.5,True,False,True,1,1199,1.169264407597773e-05
374,3,1e-05,0.5,True,False,True,2,1199,1.9927734135340722e-07
375,3,1e-05,0.5,True,False,True,3,1199,3.134498079408777e-06
376,3,1e-05,0.5,True,True,False,0,228,1.540742855779459e-13
377,3,1e-05,0.5,True,True,False,1,460,1.4768825898783465e-13
378,3,1e-05,0.5,True,True,False,2,265,1.417543090650561e-13
379,3,1e-05,0.5,True,True,False,3,338,1.2256077445926112e-13
380,3,1e-05,0.5,True,True,True,0,1199,3.263560442642038e-15
381,3,1e-05,0.5,True,True,True,1,1162,7.528492726547013e-15
382,3,1e-05,0.5,True,True,True,2,1131,5.288057674101359e-15
383,3,1e-05,0.5,True,True,True,3,1199,8.233133300131176e-15
384,6,0.0001,0.2,False,False,False,0,179,2.2912089016475346e-12
385,6,0.0001,0.2,False,False,False,1,190,1.8573223677824155e-12
386,6,0.0001,0.2,False,False,False,2,186,1.9965952597395697e-12
387,6,0.0001,0.2,False,False,False,3,264,1.7535914131405464e-12
388,6,0.0001,0.2,False,False,True,0,1177,2.940511424626736e-13
389,6,0.0001,0.2,False,False,True,1,1061,2.9764861881600896e-13
390,6,0.0001,0.2,False,False,True,2,1049,3.0784076766789697e-13
391,6,0.0001,0.2,False,False,True,3,1195,4.002855797375802e-13
392,6,0.0001,0.2,False,True,False,0,393,3.7403595239548595e-12
393,6,0.0001,0.2,False,True,False,1,312,3.819915582532269e-12
394,6,0.0001,0.2,False,True,False,2,185,3.2102750376597015e-12
395,6,0.0001,0.2,False,True,False,3,156,3.5396301144284294e-12
396,6,0.0001,0.2,False,True,True,0,1199,4.455746505466717e-13
397,6,0.0001,0.2,False,True,True,1,1167,2.2299060886701792e-13
398,6,0.0001,0.2,False,True,True,2,1045,2.872648877640395e-13
399,6,0.0001,0.2,False,True,True,3,1199,4.460559075023447e-13
400,6,0.0001,0.2,True,False,False,0,221,3.7723139801951426e-12
401,6,0.0001,0.2,True,False,False,1,202,2.823537619710794e-12
402,6,0.0001,0.2,True,False,False,2,268,2.567365167666986e-12
403,6,0.0001,0.2,True,False,False,3,116,0.0007802015226139
404,6,0.0001,0.2,True,False,True,0,1199,7.332349306439186e-13
