,num_padres,eps,tau,n_sigmas,discreto,elitismo,ej,index,Mejor
0,3,0.0001,0.2,False,False,False,0,417,0.0001862791929474
1,3,0.0001,0.2,False,False,False,1,346,7.217457947474847e-06
2,3,0.0001,0.2,False,False,False,2,483,3.9446946849413e-06
3,3,0.0001,0.2,False,False,False,3,541,7.522399129930304e-05
4,3,0.0001,0.2,False,False,True,0,1199,1.7300660640929224e-05
5,3,0.0001,0.2,False,False,True,1,1199,5.9110346285054505e-06
6,3,0.0001,0.2,False,False,True,2,1177,1.9065028100496378e-05
7,3,0.0001,0.2,False,False,True,3,1199,9.685570613186956e-06
8,3,0.0001,0.2,False,True,False,0,563,4.818450679900865e-06
9,3,0.0001,0.2,False,True,False,1,230,2.0577618160263543e-05
10,3,0.0001,0.2,False,True,False,2,210,6.059172251291141e-06
11,3,0.0001,0.2,False,True,False,3,238,6.818159115185611e-06
12,3,0.0001,0.2,False,True,True,0,1199,2.3630896545382848e-05
13,3,0.0001,0.2,False,True,True,1,1199,2.1321597783213665e-06
14,3,0.0001,0.2,False,True,True,2,1199,8.684415343752911e-06
15,3,0.0001,0.2,False,True,True,3,1199,1.0227490406047912e-05
16,3,0.0001,0.2,True,False,False,0,276,1.049169462703172e-05
17,3,0.0001,0.2,True,False,False,1,180,1.6305087782789438e-06
18,3,0.0001,0.2,True,False,False,2,172,5.532385102894893e-06
19,3,0.0001,0.2,True,False,False,3,198,2.4974856923023133e-06
20,3,0.0001,0.2,True,False,True,0,1199,4.45427634106168e-08
21,3,0.0001,0.2,True,False,True,1,1199,3.6448982495818185e-08
22,3,0.0001,0.2,True,False,True,2,1199,4.9202269338894986e-08
23,3,0.0001,0.2,True,False,True,3,1199,4.423705772056893e-09
24,3,0.0001,0.2,True,True,False,0,205,1.0445363274298024e-06
25,3,0.0001,0.2,True,True,False,1,154,4.30307708526798e-06
26,3,0.0001,0.2,True,True,False,2,187,2.0945555463242587e-06
27,3,0.0001,0.2,True,True,False,3,282,4.2297011953927104e-06
28,3,0.0001,0.2,True,True,True,0,996,3.7539286327881135e-08
29,3,0.0001,0.2,True,True,True,1,1199,6.4663431519694335e-09
30,3,0.0001,0.2,True,True,True,2,1199,4.0157665369095696e-08
31,3,0.0001,0.2,True,True,True,3,1039,5.6866325751825824e-08
32,3,0.0001,0.3,False,False,False,0,1199,6.391216342874549e-05
33,3,0.0001,0.3,False,False,False,1,296,3.891625796194836e-05
34,3,0.0001,0.3,False,False,False,2,510,0.0001276420176997
35,3,0.0001,0.3,False,False,False,3,1199,0.0002563933876173
36,3,0.0001,0.3,False,False,True,0,1199,1.644107695592642e-05
37,3,0.0001,0.3,False,False,True,1,1199,9.138998465752794e-06
38,3,0.0001,0.3,False,False,True,2,1199,4.762593692250121e-06
39,3,0.0001,0.3,False,False,True,3,1199,1.9044590882513265e-06
40,3,0.0001,0.3,False,True,False,0,289,7.142062926798106e-06
41,3,0.0001,0.3,False,True,False,1,280,5.565104347850806e-06
42,3,0.0001,0.3,False,True,False,2,1199,8.427281368087117e-05
43,3,0.0001,0.3,False,True,False,3,1178,4.064795780332701e-05
44,3,0.0001,0.3,False,True,True,0,1199,5.514935025090881e-06
45,3,0.0001,0.3,False,True,True,1,1199,2.117551695577725e-06
46,3,0.0001,0.3,False,True,True,2,1199,3.799576245203404e-06
47,3,0.0001,0.3,False,True,True,3,1199,8.926238895844366e-06
48,3,0.0001,0.3,True,False,False,0,165,4.649757414630311e-06
49,3,0.0001,0.3,True,False,False,1,318,5.8249752677886845e-06
50,3,0.0001,0.3,True,False,False,2,135,8.38213378441874e-06
51,3,0.0001,0.3,True,False,False,3,220,4.910308843369109e-06
52,3,0.0001,0.3,True,False,True,0,980,1.1337090921118962e-08
53,3,0.0001,0.3,True,False,True,1,1147,9.048669779919765e-09
54,3,0.0001,0.3,True,False,True,2,1199,2.178873122964743e-08
55,3,0.0001,0.3,True,False,True,3,1199,2.86231089441839e-08
56,3,0.0001,0.3,True,True,False,0,237,2.6327635322462323e-06
57,3,0.0001,0.3,True,True,False,1,175,1.4971861164159142e-06
58,3,0.0001,0.3,True,True,False,2,430,5.4687939883618345e-06
59,3,0.0001,0.3,True,True,False,3,256,9.00234883724756e-06
60,3,0.0001,0.3,True,True,True,0,1199,2.1308448829435833e-08
61,3,0.0001,0.3,True,True,True,1,1199,2.4003675492282357e-08
62,3,0.0001,0.3,True,True,True,2,1199,1.8240946887771765e-08
63,3,0.0001,0.3,True,True,True,3,1199,1.7571665741269044e-08
64,3,0.0001,0.4,False,False,False,0,834,0.0001218716508376
65,3,0.0001,0.4,False,False,False,1,1012,5.199241007656442e-05
66,3,0.0001,0.4,False,False,False,2,156,6.847747103604523e-05
67,3,0.0001,0.4,False,False,False,3,431,9.480432343008174e-05
68,3,0.0001,0.4,False,False,True,0,1199,1.0696985153416052e-05
69,3,0.0001,0.4,False,False,True,1,1199,7.438315094663365e-06
70,3,0.0001,0.4,False,False,True,2,1199,3.2174106096910037e-06
71,3,0.0001,0.4,False,False,True,3,1199,2.559127828251001e-05
72,3,0.0001,0.4,False,True,False,0,151,1.2677444360781934e-06
73,3,0.0001,0.4,False,True,False,1,318,8.920405164615668e-06
74,3,0.0001,0.4,False,True,False,2,556,1.1051589132237246e-05
75,3,0.0001,0.4,False,True,False,3,187,5.380510976506803e-06
76,3,0.0001,0.4,False,True,True,0,1199,9.086086577553424e-06
77,3,0.0001,0.4,False,True,True,1,1199,1.8114100573272436e-06
78,3,0.0001,0.4,False,True,True,2,1199,1.663033159539582e-05
79,3,0.0001,0.4,False,True,True,3,1199,2.135649709496518e-05
80,3,0.0001,0.4,True,False,False,0,212,4.67001741274128e-06
81,3,0.0001,0.4,True,False,False,1,192,4.619171469411988e-06
82,3,0.0001,0.4,True,False,False,2,233,5.809979356852422e-06
83,3,0.0001,0.4,True,False,False,3,419,3.498235389223142e-06
84,3,0.0001,0.4,True,False,True,0,1199,2.429169457210714e-08
85,3,0.0001,0.4,True,False,True,1,1199,3.6895700597104665e-08
86,3,0.0001,0.4,True,False,True,2,1199,1.0709867187757812e-08
87,3,0.0001,0.4,True,False,True,3,1199,2.6164119001944993e-08
88,3,0.0001,0.4,True,True,False,0,212,5.961256437035692e-06
89,3,0.0001,0.4,True,True,False,1,305,6.235312747950337e-07
90,3,0.0001,0.4,True,True,False,2,319,4.693564182423551e-06
91,3,0.0001,0.4,True,True,False,3,142,1.674115616476698e-06
92,3,0.0001,0.4,True,True,True,0,1199,4.1351645497807544e-08
93,3,0.0001,0.4,True,True,True,1,1199,3.5880711113336045e-08
