,Mejor,Media,Std,Mejor ind
0,0.7386622333877595,1.3770332863401866,0.3577256018645214,"[-0.10623053  0.50396841  0.25635173 -0.22394087 -0.62609139 -0.71368049
  0.11607213 -0.75733554  0.27227137 -0.68431091]"
1,0.2676772319065866,0.9972545877840361,0.272445172734964,"[-0.01147373 -0.1303833  -0.10507663 -0.63819691 -0.36139678 -0.30942477
  0.12241909 -0.70957189  0.45565261 -0.05955693]"
2,0.23972540347523436,0.719211406525506,0.24238771523929015,"[ 0.06142328 -0.18437617  0.42566476  0.13197005 -0.434996   -0.40018303
  0.45897735 -0.63553326  0.63288924 -0.07492048]"
3,0.23972540347523436,0.5386162628610561,0.16091082155877767,"[ 0.06142328 -0.18437617  0.42566476  0.13197005 -0.434996   -0.40018303
  0.45897735 -0.63553326  0.63288924 -0.07492048]"
4,0.1537967084926386,0.39843689208946337,0.11179551175115583,"[ 0.05403451 -0.14516431  0.39417015 -0.33507049 -0.1521054   0.25227473
  0.3248781   0.50334579 -0.19906905 -0.21526584]"
5,0.09548533268580645,0.3005755449322019,0.0807992777709132,"[ 0.00775787 -0.08416     0.29881477 -0.34610927 -0.51211983  0.20426877
 -0.32295713  0.50065333 -0.18610132 -0.25305492]"
6,0.088916372553467,0.18897573328955158,0.05647820286511156,"[ 0.07691131  0.01147095  0.1689426  -0.04668844 -0.0437384  -0.07176985
 -0.30238869  0.53268094  0.41076458  0.16866468]"
7,0.05370783261695131,0.12097011757332769,0.029945602807397737,"[-0.01048502  0.09878142 -0.00220177 -0.21863714 -0.48303048  0.02157311
 -0.42195822  0.43516118  0.47441711  0.15765507]"
8,0.031567575547734004,0.08668763501656683,0.019603110556918466,"[ 0.01650863 -0.05637591  0.19446475 -0.22012971 -0.16663651 -0.09594959
  0.29730368  0.13014936 -0.4968154   0.02110226]"
9,0.019042900931368546,0.05180291451052259,0.015336262527789456,"[-0.00877659  0.01100893 -0.17981577  0.16628224  0.15162142 -0.15813414
  0.11415414  0.49030138 -0.03329263 -0.40893702]"
10,0.007146864562853771,0.031928285787306575,0.011121652873343078,"[-0.00469377  0.03151539 -0.02881556  0.0540916  -0.09086112  0.01845491
  0.30586298 -0.12940917  0.47235197 -0.20547297]"
