,init,strategy,F,CR,x,valor
0,latinhypercube,rand1bin,0.5,0.2,"[ 1.57079995  7.85413742  1.57059297 -7.85419038 -7.85359074  4.71227827
 -4.71227611  1.57064461  1.5709961  -1.57095776]",0.00045399945125487273
1,latinhypercube,rand1bin,0.5,0.30000000000000004,"[-1.570665   -7.85482136  1.57155256 -7.85491022  1.57023949  7.85489666
  4.71309688  4.71270003 -1.57108761  1.57019392]",0.0004540010748243012
2,latinhypercube,rand1bin,0.5,0.4,"[-7.86006792  7.8539795  -4.71374511 -7.8568223   4.7040014  -1.57284965
 -1.57132329 -7.8498824  -4.71506761 -4.72294372]",0.000454104389740597
3,latinhypercube,rand1bin,0.5,0.5,"[ 4.71228484 -1.57058157  4.71245326 -4.7127205  -4.71307224  4.71302658
  4.71287169  4.71165487  7.85433023  4.71287234]",0.0004540001848809198
4,latinhypercube,rand1bin,0.5,0.6000000000000001,"[ 4.70313098  1.57066348  1.57710513 -4.7029878  -4.72104753  1.57912055
 -1.57405711 -4.71225714 -7.85241831  1.56815985]",0.0004541538601684286
5,latinhypercube,rand1bin,0.5,0.7,"[-4.71102402 -1.56991009  7.85258127 -1.57238499 -4.7141386   7.85328862
 -4.71205018  1.57058634 -7.85318458 -1.57090626]",0.0004540039888094018
6,latinhypercube,rand1bin,0.5,0.8,"[-7.85436567  1.57053444  7.8537876   4.71189455 -4.71216808 -1.57125231
 -4.7118932  -1.57124182  7.85389354  7.85427791]",0.0004539998266399247
7,latinhypercube,rand1bin,0.5,0.9000000000000001,"[-7.84579227  7.84698601 -7.8598683   7.85329593  4.71139256  4.70840143
 -7.84751571  1.57926692  4.72084286  7.86173296]",0.0004541681304576719
8,latinhypercube,rand1bin,0.5,1.0,"[-4.71192757 -1.57123971 -4.71110912  1.57329925  4.71753928 -1.57638865
  4.70683294  4.71310508 -4.7107285  -4.70719188]",0.00045405129894317986
9,latinhypercube,rand1bin,0.6,0.2,"[-4.71256516 -1.57074684 -1.57068208 -1.57052432 -4.71218152 -4.71304656
  4.71242197  1.57078958 -4.71135342  1.57077802]",0.0004539999799186136
10,latinhypercube,rand1bin,0.6,0.30000000000000004,"[ 1.56973696 -4.67092856  4.72468753  1.5774069   7.85429249  1.58306049
  4.69648159  7.85762607  1.56818059 -4.69787661]",0.00045504170758002864
