,init,strategy,F,CR,x,valor
0,latinhypercube,rand1bin,0.5,0.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
1,latinhypercube,rand1bin,0.5,0.30000000000000004,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
2,latinhypercube,rand1bin,0.5,0.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
3,latinhypercube,rand1bin,0.5,0.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
4,latinhypercube,rand1bin,0.5,0.6000000000000001,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
5,latinhypercube,rand1bin,0.5,0.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
6,latinhypercube,rand1bin,0.5,0.8,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.33066907e-16
 -1.26454403e-13  1.26969546e-11  4.20991020e-10 -1.78747193e-08
  7.57343562e-07  5.55409231e-07]",8.196653516182303e-56
7,latinhypercube,rand1bin,0.5,0.9000000000000001,"[ 0.00000000e+00  2.22044605e-16  3.44348994e-11 -2.24287695e-08
  5.07390978e-07 -4.28747379e-06 -3.72016185e-05  1.72167682e-04
  2.29002773e-03 -5.51082508e-04]",1.732076142104962e-24
8,latinhypercube,rand1bin,0.5,1.0,"[-1.19315480e-08  4.96204540e-05  4.99950245e-04  1.66270546e-02
 -2.43762819e-02  3.36992785e-02 -8.66542969e-02  2.35869163e-02
 -1.61681556e-01 -1.78602798e-01]",2.462358031345055e-07
9,latinhypercube,rand1bin,0.6,0.2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
10,latinhypercube,rand1bin,0.6,0.30000000000000004,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
11,latinhypercube,rand1bin,0.6,0.4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
12,latinhypercube,rand1bin,0.6,0.5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
13,latinhypercube,rand1bin,0.6,0.6000000000000001,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
14,latinhypercube,rand1bin,0.6,0.7,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
15,latinhypercube,rand1bin,0.6,0.8,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
16,latinhypercube,rand1bin,0.6,0.9000000000000001,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0
17,latinhypercube,rand1bin,0.6,1.0,"[-1.08329901e-10  3.68435082e-04  6.09415298e-03  3.76743122e-02
  6.26128292e-02  3.05504528e-02 -1.42291284e-01 -1.24868539e-01
 -1.37198546e-01 -2.68113531e-01]",6.5166945825957494e-06
