,init,strategy,F,CR,x,valor
0,latinhypercube,rand1bin,0.5,0.2,"[ 4.71236452 -4.7125349   1.5711773   1.57077137 -1.57104663  7.85393831
 -7.85393202  7.85392161  1.57063367 -4.71226674]",0.0004539994118878139
1,latinhypercube,rand1bin,0.5,0.30000000000000004,"[-4.71151219 -4.71202032  4.7122866   1.56995848  7.85341015 -1.57218747
  4.7118751  -1.57080133  7.85388862  1.57048222]",0.00045400103434923986
2,latinhypercube,rand1bin,0.5,0.4,"[ 7.84950999  4.70640177  1.56720622 -4.71089908  7.85608832  4.72009377
  1.56804857 -7.86246834  4.71030647  1.57472075]",0.0004540949450045143
3,latinhypercube,rand1bin,0.5,0.5,"[-1.57080149  4.71264201  7.85437054  1.57060924 -1.57094657  4.7124029
  1.57073551 -4.71279856  4.71279466  7.853628  ]",0.00045399959760169373
4,latinhypercube,rand1bin,0.5,0.6000000000000001,"[-1.56707311  1.57582716 -1.56999405  1.57466938 -1.56964266  7.84890157
 -4.71100101 -7.8549881  -7.85500853  7.8580344 ]",0.00045404112864103687
5,latinhypercube,rand1bin,0.5,0.7,"[-1.57032623  4.71254711  4.71348915  4.71099297 -1.57154447  4.71216166
 -7.85242376  7.85241923 -4.71102608  4.71279451]",0.00045400375409484865
6,latinhypercube,rand1bin,0.5,0.8,"[-4.72121389  4.70585443  1.5700502  -1.57115473 -7.85959903 -7.84994854
 -7.85396775 -1.57965267 -4.70354011 -7.85719534]",0.00045413666632813276
7,latinhypercube,rand1bin,0.5,0.9000000000000001,"[-4.71211781  1.57101071  7.85724894  4.71985479 -1.57387442 -1.56761351
 -1.57395254 -1.578316    1.56945241 -7.85337673]",0.0004540625592827174
8,latinhypercube,rand1bin,0.5,1.0,"[-4.71497381 -7.84870443 -4.71129925  1.57658758  4.70712615 -7.84890279
 -7.85433213 -1.57264995 -7.8549092   4.70862538]",0.00045405704899203944
9,latinhypercube,rand1bin,0.6,0.2,"[ 1.57200286  7.8545408   4.71260141  1.57134424 -1.57161995  1.57231317
  1.56808761  1.57184908  1.57021502  4.71342957]",0.00045400540993763175
10,latinhypercube,rand1bin,0.6,0.30000000000000004,"[ 7.85644133  4.7153631   4.71674225 -4.71403741  7.8593965  -4.71906634
  7.85152644 -7.85166239 -1.5743785  -1.57795501]",0.0004540752850985355
11,latinhypercube,rand1bin,0.6,0.4,"[ 7.85201434 -1.57975483  4.70515012 -7.85300245 -4.71449286  7.85463708
 -1.57656128  1.56036344 -7.85628168  4.70759338]",0.00045412708490449795
12,latinhypercube,rand1bin,0.6,0.5,"[-7.84905147 -7.858419    1.56743587 -4.71133153 -4.71996134  1.56295513
 -7.85740609  4.70919321  4.71184802 -1.57643109]",0.00045409296324322673
13,latinhypercube,rand1bin,0.6,0.6000000000000001,"[ 1.57080096  7.85408535  4.71273869  1.57082169  7.85358145  1.57043509
  4.71259584 -1.57075682  4.7122698  -1.57110399]",0.000453999533618154
